id	filename	md5	size	state
57d733f6-2f8e-4f0c-b391-48d3cf7c1f87	nationwidechildrens.org_clinical.TCGA-75-7030.xml	9f3196877572e7308505eaefd6f151f7	46723	released
a4a4568a-dc00-43f9-ad98-acb3c907e41e	nationwidechildrens.org_clinical.TCGA-55-7816.xml	6b87caa6d89243bafedfd76c60124f90	34530	released
9f7f9cb2-1c21-4c90-971d-0c2b69c13166	nationwidechildrens.org_omf.TCGA-80-5611.xml	06b056caea12d102dce28a55359f0a4f	10550	released
0f06f7cf-7809-4500-80c0-c325e8ef3fd9	nationwidechildrens.org_clinical.TCGA-55-7815.xml	b598dffde3f1f7315b0856acd65a6b93	59613	released
93542d01-7d01-4f98-8858-e2b634d0e51a	nationwidechildrens.org_clinical.TCGA-44-6776.xml	e09c57998258cb927242e6382fe43404	43046	released
8f3557d7-8070-47fc-a87a-ab81e53ddff2	nationwidechildrens.org_clinical.TCGA-44-8119.xml	fd736d07b0c8525a21f725ea1837fd7a	35536	released
d12fe78a-2151-491c-9414-f0909e4810f4	nationwidechildrens.org_clinical.TCGA-64-5778.xml	1e34c2248d6553d676aabc1d53c623d2	62232	released
12293f8c-86f0-4ff2-832b-b104b076f04c	nationwidechildrens.org_clinical.TCGA-64-1676.xml	99f00eaf9b8e5a30968f975534886abc	34143	released
d356dc1d-6379-4495-a8c5-d1f8821240b9	nationwidechildrens.org_clinical.TCGA-97-A4M1.xml	3d67938ef404d3c75b5cc43835fd81c5	35546	released
b3c70e07-ec66-4cab-b8c9-3d68884b11c6	nationwidechildrens.org_clinical.TCGA-MP-A4T8.xml	2f67b76eeef1b0b48a58420197facd51	38500	released
2d9b05a1-3f03-47a5-a2a7-96f24e52d7ea	nationwidechildrens.org_omf.TCGA-55-A48X.xml	6b8c60cd84b780886d5be4cbd7f47b33	11046	released
a6ecd1e5-112b-4b8a-83a4-56c6172e4080	nationwidechildrens.org_clinical.TCGA-49-4512.xml	cdd7c15b596e79775c7eede0f1929e0f	40380	released
3448cbf4-54b4-441f-8294-43ebd5d69573	nationwidechildrens.org_clinical.TCGA-69-7765.xml	38c50223db1c2cd8846f8b0afbe6c064	47094	released
d7209282-3663-4e9e-98d0-bf0056e046ec	nationwidechildrens.org_clinical.TCGA-69-7978.xml	54bb414f5f406a30fd0f032b728e2a06	34793	released
1c8ea318-d0f6-4e29-8dea-8088e4fd9e11	nationwidechildrens.org_clinical.TCGA-69-7980.xml	8c9774f94deccac2f3b4a865ed118e38	43011	released
2486c117-e1ec-4c6f-a095-51a217dbd660	nationwidechildrens.org_clinical.TCGA-50-6597.xml	1fa49af34eaaac9719a92122dc793ee9	34673	released
5169cea7-bced-45f1-8175-e2a8b589d34d	nationwidechildrens.org_clinical.TCGA-NJ-A7XG.xml	2d4cfef6a63166c3076ed58362e58180	52468	released
f6332d83-0545-4b7f-8fc7-ba916ff3f88e	nationwidechildrens.org_clinical.TCGA-05-4395.xml	e2e732a3435f1eb491ed6f92a835fa62	25943	released
9b23ed48-c02b-4a5c-876c-87f13061a2e7	nationwidechildrens.org_clinical.TCGA-62-A46U.xml	ded6d03c1b8482f868a827ef33f40a24	47094	released
9d72c2ea-0083-44c3-8133-accaebca90ff	nationwidechildrens.org_clinical.TCGA-44-2657.xml	799085d248b19aacb4252282b2d45bdd	43134	released
634e468c-8c0e-48e9-8fcf-72ece64e4b36	nationwidechildrens.org_clinical.TCGA-44-5643.xml	61a8e8d7c0a1e90970eb186927cfa9aa	66328	released
3385abf2-f141-4f06-a514-5c309144fd5f	nationwidechildrens.org_clinical.TCGA-50-5932.xml	62b9cf26427413d9bbe8fccee59b2676	34951	released
3eadeb75-aa76-4f48-9288-1b771f53ddae	nationwidechildrens.org_clinical.TCGA-49-6745.xml	d48fa3b9321e6084c9cfc8d6d9245c61	40419	released
acc1d0ce-5a6f-4254-b814-3487a3c4254b	nationwidechildrens.org_omf.TCGA-95-7947.xml	99109cda16d7568ab146becf3038d365	10860	released
1121bfbf-e611-4439-91f6-51af10fde1a0	nationwidechildrens.org_clinical.TCGA-69-7973.xml	85f7694eb4ebb97142a1b470a9327d29	58175	released
a3adce46-305a-4f03-98c2-389fd2f1862c	nationwidechildrens.org_clinical.TCGA-44-7659.xml	596a38362d6b21df76fb7b9b7ccef00f	42898	released
5d64ae00-602f-4bc8-96f7-6d2fae162720	nationwidechildrens.org_omf.TCGA-73-4658.xml	c0d29f7a80454d7b1bb2de4f1b3055d0	10664	released
cdd3128f-f10f-4914-9dd5-6ea8472a0704	nationwidechildrens.org_omf.TCGA-38-7271.xml	83c6d8c30d29417161ed7f6c1f2c197e	10903	released
fdcefb0e-dd7b-445d-b2c7-5dfb75a3cd6c	nationwidechildrens.org_clinical.TCGA-97-7554.xml	fe54cb62a72037642a0ac47504490293	47647	released
d141a39b-7313-40ed-9c2d-390cc458856c	nationwidechildrens.org_clinical.TCGA-97-8174.xml	82ae3e0cd7bb3bdce43f7bfe3015f179	38724	released
ec70f598-2546-42c0-b9d0-27f8161931a9	nationwidechildrens.org_omf.TCGA-05-4427.xml	e67ee128754803ea0b31a049e1eaa471	10719	released
e02ad356-c348-42dd-884b-97c640e895d9	nationwidechildrens.org_clinical.TCGA-55-7914.xml	5790579bcf4d231c9dd5d324507ca053	52657	released
a9131d02-5790-45f9-9b91-ff93e893ad9b	nationwidechildrens.org_clinical.TCGA-MP-A4SW.xml	be69c5d4440ffa4d2245210491a7d101	26924	released
bbddabcb-cefb-4ef2-a774-252b48eb7e57	nationwidechildrens.org_clinical.TCGA-91-A4BD.xml	509d887edae0d4cee7cd522392cd6505	35340	released
db06feed-f772-44f1-b063-835659318290	nationwidechildrens.org_clinical.TCGA-L9-A7SV.xml	6dc7633187218212a57d90c6855133ca	47326	released
9afb4e6b-6245-4c77-97d0-e051b2b9c87f	nationwidechildrens.org_clinical.TCGA-73-7499.xml	ce1aa0ee4775c0c0d36cc06f045eb9bd	44129	released
30ac6576-ca9d-4a6f-95c7-56410cd518a1	nationwidechildrens.org_omf.TCGA-05-5420.xml	18ef2c7eceb983b5d9ed88a367044b86	19107	released
5fecea66-4985-49a1-9667-e61bcd7db68e	nationwidechildrens.org_clinical.TCGA-75-6203.xml	62c014711815aa732f7e06e0d39a7a66	52145	released
